STATE,TIME_START,TIME_END,IS_CLOSED,COMPONENT_NAME
HV trip,12-JUN-17 09.49.03.742000000 PM,12-JUN-17 09.59.07.112000000 PM,1,ME+2/1/17/2/HVSegment1
HV trip,12-JUN-17 10.20.40.453000000 PM,12-JUN-17 10.30.48.702000000 PM,1,ME+2/1/17/2/HVSegment1
HV trip,12-JUN-17 10.21.20.364000000 PM,12-JUN-17 10.31.23.773000000 PM,1,ME+3/1/02/1/HVSegment2
HV trip,12-JUN-17 10.21.54.072000000 PM,12-JUN-17 10.31.57.518000000 PM,1,ME+3/1/02/1/HVSegment1
HV trip,12-JUN-17 10.35.51.021000000 PM,12-JUN-17 10.45.54.366000000 PM,1,ME-4/2/30/1/HVSegment5
HV trip,13-JUN-17 01.36.11.975000000 AM,13-JUN-17 01.46.18.982000000 AM,1,ME+2/1/17/2/HVSegment1
HV trip,13-JUN-17 01.36.48.994000000 AM,13-JUN-17 01.46.52.506000000 AM,1,ME+3/1/02/1/HVSegment2
HV trip,13-JUN-17 01.42.51.188000000 AM,13-JUN-17 01.52.54.494000000 AM,1,ME-2/1/17/5/HVSegment1
HV trip,13-JUN-17 01.43.32.214000000 AM,13-JUN-17 01.53.35.911000000 AM,1,ME-4/2/15/1/HVSegment1
HV trip,13-JUN-17 01.49.18.721000000 AM,13-JUN-17 01.59.23.000000000 AM,1,ME+4/2/33/6/HVSegment5
HV trip,13-JUN-17 01.52.36.524000000 AM,13-JUN-17 02.02.39.746000000 AM,1,ME+4/2/03/1/HVSegment3
HV trip,13-JUN-17 01.58.27.323000000 AM,13-JUN-17 02.08.30.683000000 AM,1,ME+2/1/17/2/HVSegment1
HV trip,13-JUN-17 02.01.38.207000000 AM,13-JUN-17 02.11.49.063000000 AM,1,ME+4/2/03/6/HVSegment5
HV trip,13-JUN-17 02.03.20.267000000 AM,13-JUN-17 02.13.23.544000000 AM,1,ME+4/2/24/6/HVSegment5
HV trip,14-JUN-17 08.32.53.369000000 AM,14-JUN-17 08.42.56.768000000 AM,1,ME+2/1/17/2/HVSegment1
