CONDITION_ID,STATE,TIME_START,TIME_END,IS_CLOSED,COMPONENT_NAME,REC_DESCRIPTION,FCT_VOLTAGE_SETTING
6088055517,HV weak channel,05-FEB-15 06.13.00.227000000 PM,13-MAY-15 05.39.50.702000000 PM,1,ME+1/1/01/4,HV channel has a lower than nominal voltage setting (2900 V),0
6088055517,HV weak channel,05-FEB-15 06.13.00.227000000 PM,13-MAY-15 05.39.50.702000000 PM,1,ME+1/1/01/4,HV channel has a lower than nominal voltage setting (2900 V),0
6088055517,HV weak channel,05-FEB-15 06.13.00.227000000 PM,13-MAY-15 05.39.50.702000000 PM,1,ME+1/1/01/4,HV channel has a lower than nominal voltage setting (2900 V),0
6088055517,HV weak channel,05-FEB-15 06.13.00.227000000 PM,13-MAY-15 05.39.50.702000000 PM,1,ME+1/1/01/4,HV channel has a lower than nominal voltage setting (2900 V),0
6088055517,HV weak channel,05-FEB-15 06.13.00.227000000 PM,13-MAY-15 05.39.50.702000000 PM,1,ME+1/1/01/4,HV channel has a lower than nominal voltage setting (2900 V),0
6088055517,HV weak channel,05-FEB-15 06.13.00.227000000 PM,13-MAY-15 05.39.50.702000000 PM,1,ME+1/1/01/4,HV channel has a lower than nominal voltage setting (2900 V),2900
6088055521,HV weak channel,05-FEB-15 06.13.00.384000000 PM,13-MAY-15 05.39.50.502000000 PM,1,ME+1/1/01/5,HV channel has a lower than nominal voltage setting (2900 V),0
6088055521,HV weak channel,05-FEB-15 06.13.00.384000000 PM,13-MAY-15 05.39.50.502000000 PM,1,ME+1/1/01/5,HV channel has a lower than nominal voltage setting (2900 V),0
6088055521,HV weak channel,05-FEB-15 06.13.00.384000000 PM,13-MAY-15 05.39.50.502000000 PM,1,ME+1/1/01/5,HV channel has a lower than nominal voltage setting (2900 V),0
6088055521,HV weak channel,05-FEB-15 06.13.00.384000000 PM,13-MAY-15 05.39.50.502000000 PM,1,ME+1/1/01/5,HV channel has a lower than nominal voltage setting (2900 V),0
6088055521,HV weak channel,05-FEB-15 06.13.00.384000000 PM,13-MAY-15 05.39.50.502000000 PM,1,ME+1/1/01/5,HV channel has a lower than nominal voltage setting (2900 V),0
6088055521,HV weak channel,05-FEB-15 06.13.00.384000000 PM,13-MAY-15 05.39.50.502000000 PM,1,ME+1/1/01/5,HV channel has a lower than nominal voltage setting (2900 V),0
6088055521,HV weak channel,05-FEB-15 06.13.00.384000000 PM,13-MAY-15 05.39.50.502000000 PM,1,ME+1/1/01/5,HV channel has a lower than nominal voltage setting (2900 V),2900
6088055525,HV weak channel,05-FEB-15 06.13.00.558000000 PM,13-MAY-15 05.39.50.309000000 PM,1,ME+1/1/01/6,HV channel has a lower than nominal voltage setting (2900 V),0
