STATE,TIME_START,TIME_END,IS_CLOSED,COMPONENT_NAME
HV disabled channel,15-JUN-12 05.10.11.421000000 PM,15-JUN-12 05.21.27.160000000 PM,1,ME-1/1/03/3
HV disabled channel,15-JUN-12 05.10.13.774000000 PM,15-JUN-12 05.21.27.182000000 PM,1,ME-1/1/03/4
HV disabled channel,15-JUN-12 05.10.16.348000000 PM,15-JUN-12 05.21.29.903000000 PM,1,ME-1/1/03/5
HV disabled channel,15-JUN-12 05.10.18.831000000 PM,15-JUN-12 05.21.29.939000000 PM,1,ME-1/1/03/6
HV disabled channel,15-JUN-12 05.11.25.043000000 PM,15-JUN-12 05.11.50.657000000 PM,1,ME+1/1/06/1
HV disabled channel,15-JUN-12 05.11.54.580000000 PM,15-JUN-12 05.12.03.859000000 PM,1,ME+1/1/06/6
HV disabled channel,15-JUN-12 05.15.17.565000000 PM,15-JUN-12 05.23.43.845000000 PM,1,ME+1/1/06/6
HV disabled channel,15-JUN-12 05.19.46.935000000 PM,15-JUN-12 05.23.37.693000000 PM,1,ME+1/1/06/1
HV disabled channel,15-JUN-12 05.19.46.969000000 PM,15-JUN-12 05.23.37.715000000 PM,1,ME+1/1/06/2
HV disabled channel,15-JUN-12 05.19.49.751000000 PM,15-JUN-12 05.23.41.600000000 PM,1,ME+1/1/06/3
HV disabled channel,15-JUN-12 05.19.49.775000000 PM,15-JUN-12 05.23.41.623000000 PM,1,ME+1/1/06/4
HV disabled channel,15-JUN-12 05.19.52.418000000 PM,15-JUN-12 05.23.43.809000000 PM,1,ME+1/1/06/5
HV disabled channel,15-JUN-12 05.20.19.516000000 PM,15-JUN-12 05.23.15.608000000 PM,1,ME-1/1/15/1
HV disabled channel,15-JUN-12 05.20.24.924000000 PM,15-JUN-12 05.23.15.630000000 PM,1,ME-1/1/15/2
HV disabled channel,15-JUN-12 05.20.24.949000000 PM,15-JUN-12 05.23.18.334000000 PM,1,ME-1/1/15/3
HV disabled channel,15-JUN-12 05.20.27.443000000 PM,15-JUN-12 05.23.18.361000000 PM,1,ME-1/1/15/4
HV disabled channel,15-JUN-12 05.20.27.480000000 PM,15-JUN-12 05.23.21.122000000 PM,1,ME-1/1/15/5
HV disabled channel,15-JUN-12 05.20.29.949000000 PM,15-JUN-12 05.23.21.162000000 PM,1,ME-1/1/15/6
HV disabled channel,16-JUN-12 11.15.29.742000000 PM,18-JUN-12 08.18.51.192000000 PM,1,ME+1/1/33/5
HV disabled channel,19-JUN-12 04.57.22.037000000 PM,19-JUN-12 04.57.24.129000000 PM,1,ME+1/1/06/1
HV disabled channel,19-JUN-12 05.17.56.882000000 PM,26-JUN-12 05.03.09.571000000 PM,1,ME-1/1/26/6
HV disabled channel,25-JUN-12 10.03.06.126000000 AM,02-JUL-12 03.50.17.364000000 PM,1,ME+1/1/17/3
HV disabled channel,26-JUN-12 05.03.11.268000000 PM,02-JUL-12 03.56.14.626000000 PM,1,ME-1/1/26/6
HV disabled channel,27-JUN-12 09.44.18.654000000 PM,06-JUL-12 09.34.41.514000000 AM,1,ME+1/1/08/3
HV disabled channel,03-JUL-12 09.43.58.279000000 PM,06-JUL-12 09.32.22.143000000 AM,1,ME-1/1/07/5
HV disabled channel,07-JUL-12 11.40.35.541000000 PM,08-JUL-12 02.40.17.430000000 PM,1,ME-1/1/07/5
HV disabled channel,05-OCT-12 01.17.13.562000000 PM,13-OCT-12 08.07.37.838000000 PM,1,ME+1/1/01/5
HV disabled channel,24-OCT-12 10.31.30.200000000 AM,08-NOV-12 10.44.58.378000000 AM,1,ME+1/1/01/5
HV disabled channel,25-OCT-12 11.58.58.637000000 AM,26-OCT-12 03.20.01.872000000 PM,1,ME-4/1/15/5/HVSegment2
HV disabled channel,08-NOV-12 03.34.14.145000000 PM,01-DEC-12 12.12.07.686000000 PM,1,ME+1/1/33/6
HV disabled channel,26-NOV-12 09.23.13.395000000 AM,28-NOV-12 09.55.14.867000000 PM,1,ME+1/1/05/6
HV disabled channel,02-FEB-13 12.27.56.862000000 AM,06-FEB-13 11.47.43.069000000 AM,1,ME+1/1/08/3
HV disabled channel,28-OCT-14 03.59.45.624000000 PM,03-NOV-14 01.03.11.433000000 PM,1,ME-2/2/06/2/HVSegment4
HV disabled channel,28-OCT-14 04.00.22.924000000 PM,03-NOV-14 01.03.13.533000000 PM,1,ME+2/1/14/4/HVSegment2
